id,name,job,job_cat,pic_url,season,skin_tone,eye_color,hair_color,contrast_level,best_color1,best_color2,best_color3,best_color4,best_color5,worst_color1,worst_color2,worst_color3,worst_color4,worst_color5
0,Amal Clooney,Human rights lawyer,Public Figures,https://upload.wikimedia.org/wikipedia/commons/2/23/Amal_Clooney_2022_%28cropped%29.jpg,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7f7f7f,#556b2f,#8b4513
1,Behati Prinsloo,"Victoria's Secret Angel, high-profile ad campaigns",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/7/71/Behati_Prinsloo_-_GEORGES_CHAKRA_2010_07_%28cropped%29.jpg,clear spring,warm,hazel with green and brown flecks,natural dark blonde,medium,#e8b4a8,#ffd700,#ffa07a,#ff8c00,#ff6347,#000000,#ffffff,#7b68ee,#483d8b,#2f4f4f
2,Candice Swanepoel,"Victoria's Secret Angel, high-profile ad campaigns",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/9/98/Candice_Swanepoel_for_Max_Factor_02.jpg,clear spring,warm,"blue with a clear, bright quality",honey blonde,medium,#e8b4a8,#c89f94,#f4c242,#ffd700,#ff8c00,#7f7f7f,#343434,#8b4513,#5f9ea0,#778899
3,Carli Bybel,Beauty and fashion vlogger,Social Media Influencers/Content Creators,,clear spring,warm,"deep brown with a warm, golden fleck",natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#00ff00,#000000,#ffffff,#7f7f7f,#a9a9a9,#808080
4,Choi Siwon,Member of Super Junior,K-pop/Asian Celebrities,,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7f7f7f,#778899,#708090
5,Gigi Gorgeous,Lifestyle and beauty influencing,Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Gigi_Gorgeous_at_TDoV_SF_20170331-3420_%28cropped%29.jpg/1250px-Gigi_Gorgeous_at_TDoV_SF_20170331-3420_%28cropped%29.jpg,clear spring,warm,hazel with green and gold flecks,blonde,medium,#ffd700,#ff8c00,#ff6347,#ffff54,#00ff00,#7f7f7f,#556b2f,#800000,#8b4513,#483d8b
6,Ginger Rogers,Dancing and acting in musical films,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ginger_Rogers_-_Tender_Comrade.jpg/1280px-Ginger_Rogers_-_Tender_Comrade.jpg,clear spring,warm,warm hazel with flecks of green,golden blonde,medium,#ffd700,#ffa07a,#00ff7f,#4682b4,#ff6347,#7b68ee,#556b2f,#800000,#708090,#2f4f4f
7,Heidi Klum,"Supermodel legacy, reality TV hosting",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Heidi_Klum_by_Glenn_Francis.jpg/1280px-Heidi_Klum_by_Glenn_Francis.jpg,clear spring,warm,hazel with golden flecks,natural dark blonde,medium,#ffd700,#ff8c00,#ff6347,#ff4500,#32cd32,#7f7f7f,#778899,#2f4f4f,#556b2f,#800000
8,HyunA,Solo artist,K-pop/Asian Celebrities,,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7b68ee,#708090,#2f4f4f
9,Lionel Messi,Football,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lionel_Messi_NE_Revolution_Inter_Miami_7.9.25-178.jpg/1280px-Lionel_Messi_NE_Revolution_Inter_Miami_7.9.25-178.jpg,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7f7f7f,#778899,#6a5acd
10,Michael Phelps,Swimming,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Michael_Phelps_Rio_Olympics_2016.jpg/1094px-Michael_Phelps_Rio_Olympics_2016.jpg,clear spring,warm,deep brown,natural dark brown,medium,#ffd700,#ff8c00,#ff6347,#adff2f,#32cd32,#7b68ee,#483d8b,#6a5acd,#800000,#8b4513
11,Mino,WINNER,K-pop/Asian Celebrities,,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ffa07a,#00ff7f,#000000,#ffffff,#7b68ee,#556b2f,#8b4513
12,Momo (Hirai Momo),Member of TWICE,K-pop/Asian Celebrities,,clear spring,warm,deep brown,natural dark brown,medium,#ffd700,#ff6347,#32cd32,#ff69b4,#00fa9a,#778899,#2f4f4f,#556b2f,#7fff00,#696969
13,Rosie Huntington-Whiteley,"High-fashion campaigns, acting",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Rosie_Huntington-Whiteley_at_82nd_Venice_International_Film_Festival-2.jpg/1280px-Rosie_Huntington-Whiteley_at_82nd_Venice_International_Film_Festival-2.jpg,clear spring,warm,hazel with green and gold flecks,honey blonde,medium,#ffd700,#ff8c00,#ff6347,#ff4500,#ffdab9,#7f7f7f,#778899,#2f4f4f,#556b2f,#800000
14,Shirley Temple,"Child actress known for her singing, dancing, and acting",Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Shirleytemple.jpg/1280px-Shirleytemple.jpg,clear spring,warm,warm brown with golden flecks,golden auburn,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7f7f7f,#778899,#708090
15,Steph Curry,Basketball,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/f/f1/Steph_Curry_P20230117AS-1347_%28cropped%29.jpg,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#00ff00,#000000,#ffffff,#7f7f7f,#778899,#708090
16,Sunmi,"Solo artist, former member of Wonder Girls",K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/20230720_Lee_Sunmi_on_July_2023_01.jpg/1122px-20230720_Lee_Sunmi_on_July_2023_01.jpg,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7b68ee,#556b2f,#708090
17,Vivienne Westwood,Fashion design,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/1/1c/Vivienne_Westwood_by_Mattia_Passeri.jpg,clear spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#ffd700,#ff8c00,#ff6347,#000000,#ffffff,#7f7f7f,#778899,#708090
18,Alexander Wang,Fashion design,Fashion Designers/Style Icons,,clear winter,cool,dark brown,black,high,#b50000,#0033a0,#ffffff,#1a1a1a,#00a86b,#f4a460,#d2b48c,#ffdab9,#ffe4b5,#fa8072
19,Baekhyun,EXO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/0/02/%ED%95%98%EC%96%80%EB%A8%B8%EB%A6%AC_%EB%B0%B1%ED%98%84_3.jpg,clear winter,cool,dark brown with hints of charcoal,natural black,high,#00a2e8,#ff0055,#9900ff,#66ccff,#cc0066,#c39953,#8b572a,#bfa58a,#786452,#7d6d61
20,Billie Joe Armstrong,"Rock music, Green Day frontman",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/GreenDayIOW230624_%28307_of_367%29_%28cropped%29.jpg/1280px-GreenDayIOW230624_%28307_of_367%29_%28cropped%29.jpg,clear winter,cool,intense green,black (dyed from a natural dark brown),high,#005aab,#d6001c,#ffffff,#b3b5b4,#7f00ff,#c2b280,#987654,#e1a95f,#8b4513,#996515
21,Conor McGregor,Mixed Martial Arts,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Conor_McGregor_2025.jpeg/1280px-Conor_McGregor_2025.jpeg,clear winter,cool,"blue with a clear, vibrant quality",natural light brown with tendencies to darken,high,#004b8d,#ff0000,#00aeef,#990000,#7f00ff,#996633,#cc9900,#663300,#ffcc99,#ff9966
22,Desi Perkins,Beauty and makeup guru,Social Media Influencers/Content Creators,,clear winter,cool,"striking deep brown with a cool, almost black undertone",dark brown with subtle cool undertones,high,#005b96,#ffffff,#b8336a,#990000,#c0003c,#f4c430,#ffd700,#996515,#cc7722,#b87333
23,Doja Cat,Pop and rap music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Doja_Cat_x_Amazon1.1_%28cropped%29.jpg/1280px-Doja_Cat_x_Amazon1.1_%28cropped%29.jpg,clear winter,cool,"deep brown with a clear, bright quality",natural dark brown,high,#004b8d,#ff1cae,#00aeef,#990000,#660099,#996633,#cc9966,#ffcc99,#663300,#ff9966
24,Dua Lipa,Pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/DuaLipa-byPhilipRomano.jpg/1280px-DuaLipa-byPhilipRomano.jpg,clear winter,cool,deep brown,natural dark brown,high,#005b96,#ff2b2b,#003153,#56a0d3,#d70040,#f4c2c2,#fff5ee,#faebd7,#f5f5dc,#ffe4c4
25,Gal Gadot,Wonder Woman in DC movies,Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Gal_Gadot_by_Gage_Skidmore_3.jpg/1280px-Gal_Gadot_by_Gage_Skidmore_3.jpg,clear winter,cool,deep brown with hints of cool undertones,natural dark brown,high,#005b96,#00a0b0,#a20055,#e51400,#6a00ff,#ffd700,#ffa07a,#ff6347,#eee8aa,#f5deb3
26,Ivanka Trump,Daughter of the 45th President of the United States,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Ivanka_Trump_official_portrait_2020.jpg/1280px-Ivanka_Trump_official_portrait_2020.jpg,clear winter,cool,light brown with flecks of green,blonde,high,#005b96,#d6001c,#f2f2f2,#990000,#003153,#996633,#cc9900,#663300,#ffcc99,#ff9966
27,J Balvin,Reggaeton and Latin music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/J_Balvin_BTTR_Tour_Photo_January_2025.jpg/1280px-J_Balvin_BTTR_Tour_Photo_January_2025.jpg,clear winter,cool,"deep brown with a clear, luminous quality","natural dark brown, often dyed in vibrant colors",high,#005bac,#d6001c,#009b77,#a8e4a0,#00b1d2,#7b3f00,#996666,#ccad60,#8d8478,#b2beb5
28,Jackson Wang,Member of GOT7,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/a/a3/Jackson_Wang_interviewed_for_POVJOV_02.png,clear winter,cool,dark brown with some lighter flecks,natural black,high,#0a75ad,#c0003c,#9b1b30,#0073cf,#b4a0c8,#c2b280,#996633,#cc9966,#663300,#ffcc99
29,James Charles,"Makeup artist, beauty guru on YouTube",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/4/4b/James_Charles_-_GLAAD_Media_Awards_2024_%28cropped%29.png,clear winter,cool,"dark brown with hints of charcoal, giving a piercing and deep look that adds to the overall contrast of his features",dark brown,high,#2a4b77,#4a2a77,#772a5a,#2a7077,#772a2a,#f4c2c2,#fff5ee,#fadadd,#ffdab9,#f5deb3
30,Jean Paul Gaultier,Fashion design,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/c/c5/Jean-Paul_Gaultier.jpg,clear winter,cool,dark brown with a cool undertone,salt and pepper,high,#0a75ad,#49a9c2,#cc2936,#ffffff,#b4d2e7,#c69c6d,#a67b5b,#996515,#cc9900,#663300
31,Jeon Jungkook,Member of BTS,K-pop/Asian Celebrities,,clear winter,cool,"dark brown, almost black in certain lights",natural dark brown,high,#005b96,#ff3c38,#76b041,#f567be,#6b3fa0,#c2b280,#987654,#d2b48c,#a0522d,#8b4513
32,Kelly Clarkson,The Kelly Clarkson Show,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kelly_Clarkson_2018_DoD_Warrior_Games_Opening_Ceremony_14_-_Cropped_01.jpg,clear winter,cool,hazel with flecks of green and brown,brunette with subtle highlights,high,#6b7b8c,#005b96,#003366,#4c1c61,#9b1b30,#663300,#996633,#cc9900,#ffcc99,#ff9966
33,Lisa,BLACKPINK,K-pop/Asian Celebrities,,clear winter,cool,dark brown with slight grey undertones,natural dark brown,high,#003366,#0073e6,#33cccc,#660066,#9900cc,#996633,#cc9900,#663300,#ffcc99,#ffff99
